Country;Number ;Latitude;Longitude;Region 
Afghanistan;2;34,297535;65,499387;Southern Asia
Cameroon;1;5,185212;12,478571;Central Africa
China;1;35,323319;104,238678;Eastern Asia
DRC;3;-1,300504;15,258112;Central Africa
Egypt;12;26,820553;30,802498;Northern Africa
Erythrea;4;16,105303;37,75028;Eastern Africa
India;3;22,063302;78,332961;Southern Asia
Iran ;3;32,664816;54,592403;Middle East
Japan;1;36,085862;138,442354;Eastern Asia
Kenya;1;1,281739;38,029946;Eastern Africa
South Korea;36;36,536577;127,908258;Eastern Asia
Lybia;1;26,670816;17,238663;Northern Africa
Mexico;1;23,243518;-102,590412;Northern America
Mozambique;2;-17,080504;36,165504;Eastern Africa
Namibia;1;-22,55941;17,08323;Southern Africa
Nigeria;3;9,05735;7,48976;West Africa
Philippines;1;15,224869;121,091244;Southern Asia
Russia;1;64,163915;96,26189;Eurasia
Senegal;2;14,800153;-14,445907;West Africa
Somalia;1;2,865426;42,38031;Eastern Africa
Sudan;17;15,54665;32,53361;Northern Africa
Tanzania;2;-6,17486;35,73792;Eastern Africa
Turkey;1;39,343746;35,388654;Middle East
USA;2;42,47839;-107,607379;Northern America
